
=== Processing text ===
L'IA presenta, accanto a molti utilizzi benefici, la possibilità di essere utilizzata impropriamente e di fornire strumenti nuovi e potenti per pratiche di manipolazione, sfruttamento e controllo sociale. Tali pratiche sono particolarmente dannose e abusive e dovrebbero essere vietate poiché sono contrarie ai valori dell'Unione relativi al rispetto della dignità umana, alla libertà, all'uguaglianza, alla democrazia e allo Stato di diritto e ai diritti fondamentali sanciti dalla Carta, compresi il diritto alla non discriminazione, alla protezione dei dati e alla vita privata e i diritti dei minori.


Tokenization details:
Token           | Text                 | Start | End   | SHAP Value  
dei             | 'dei'                | 593   | 596   | +0.000736
minori          | 'minori'             | 597   | 603   | +0.000736
.               | '.'                  | 603   | 604   | +0.000736
                | ''                   | 0     | 0     | +0.000052
  Added token 'L' (0-1) as 'L'
  Added token ''' (1-2) as '''
  Added token 'IA ' (2-4) as 'IA'

Saved word: 'L'IA' with SHAP +0.000239
  Added token 'presenta' (5-13) as 'presenta'
  Added token ', ' (13-14) as ','

Saved word: 'presenta,' with SHAP +0.000529
  Added token 'accanto ' (15-22) as 'accanto'

Saved word: 'accanto' with SHAP +0.003887
  Added token 'a ' (23-24) as 'a'

Saved word: 'a' with SHAP +0.002724
  Added token 'molti ' (25-30) as 'molti'

Saved word: 'molti' with SHAP -0.001338
  Added token 'ut' (31-33) as 'ut'
  Added token 'ili' (33-36) as 'ili'
  Added token 'zzi ' (36-39) as 'zzi'

Saved word: 'utilizzi' with SHAP -0.001736
  Added token 'bene' (40-44) as 'bene'
  Added token 'fici' (44-48) as 'fici'
  Added token ', ' (48-49) as ','

Saved word: 'benefici,' with SHAP -0.024991
  Added token 'la ' (50-52) as 'la'

Saved word: 'la' with SHAP -0.000516
  Added token 'possibilità ' (53-64) as 'possibilità'

Saved word: 'possibilità' with SHAP -0.000516
  Added token 'di ' (65-67) as 'di'

Saved word: 'di' with SHAP -0.000516
  Added token 'essere ' (68-74) as 'essere'

Saved word: 'essere' with SHAP -0.000516
  Added token 'utilizzata ' (75-85) as 'utilizzata'

Saved word: 'utilizzata' with SHAP -0.000516
  Added token 'im' (86-88) as 'im'
  Added token 'pro' (88-91) as 'pro'
  Added token 'pri' (91-94) as 'pri'
  Added token 'amente ' (94-100) as 'amente'

Saved word: 'impropriamente' with SHAP +0.048571
  Added token 'e ' (101-102) as 'e'

Saved word: 'e' with SHAP +0.003970
  Added token 'di ' (103-105) as 'di'

Saved word: 'di' with SHAP +0.003970
  Added token 'for' (106-109) as 'for'
  Added token 'nire ' (109-113) as 'nire'

Saved word: 'fornire' with SHAP +0.007939
  Added token 'strumenti ' (114-123) as 'strumenti'

Saved word: 'strumenti' with SHAP -0.005692
  Added token 'nuovi ' (124-129) as 'nuovi'

Saved word: 'nuovi' with SHAP -0.005692
  Added token 'e ' (130-131) as 'e'

Saved word: 'e' with SHAP -0.005692
  Added token 'pot' (132-135) as 'pot'
  Added token 'enti ' (135-139) as 'enti'

Saved word: 'potenti' with SHAP -0.003920
  Added token 'per ' (140-143) as 'per'

Saved word: 'per' with SHAP -0.001960
  Added token 'pra' (144-147) as 'pra'
  Added token 'tiche ' (147-152) as 'tiche'

Saved word: 'pratiche' with SHAP +0.003130
  Added token 'di ' (153-155) as 'di'

Saved word: 'di' with SHAP +0.001565
  Added token 'mani' (156-160) as 'mani'
  Added token 'pola' (160-164) as 'pola'
  Added token 'zione' (164-169) as 'zione'
  Added token ', ' (169-170) as ','

Saved word: 'manipolazione,' with SHAP +0.006260
  Added token 's' (171-172) as 's'
  Added token 'fr' (172-174) as 'fr'
  Added token 'utta' (174-178) as 'utta'
  Added token 'mento ' (178-183) as 'mento'

Saved word: 'sfruttamento' with SHAP +0.012124
  Added token 'e ' (184-185) as 'e'

Saved word: 'e' with SHAP -0.000107
  Added token 'controllo ' (186-195) as 'controllo'

Saved word: 'controllo' with SHAP -0.000107
  Added token 'sociale' (196-203) as 'sociale'
  Added token '. ' (203-204) as '.'

Saved word: 'sociale.' with SHAP -0.011275
  Added token 'Tal' (205-208) as 'Tal'
  Added token 'i ' (208-209) as 'i'

Saved word: 'Tali' with SHAP -0.001111
  Added token 'pra' (210-213) as 'pra'
  Added token 'tiche ' (213-218) as 'tiche'

Saved word: 'pratiche' with SHAP -0.000404
  Added token 'sono ' (219-223) as 'sono'

Saved word: 'sono' with SHAP +0.011949
  Added token 'particolarmente ' (224-239) as 'particolarmente'

Saved word: 'particolarmente' with SHAP +0.011949
  Added token 'danno' (240-245) as 'danno'
  Added token 'se ' (245-247) as 'se'

Saved word: 'dannose' with SHAP +0.111758
  Added token 'e ' (248-249) as 'e'

Saved word: 'e' with SHAP +0.027600
  Added token 'abu' (250-253) as 'abu'
  Added token 'sive ' (253-257) as 'sive'

Saved word: 'abusive' with SHAP +0.057927
  Added token 'e ' (258-259) as 'e'

Saved word: 'e' with SHAP +0.022150
  Added token 'do' (260-262) as 'do'
  Added token 'vre' (262-265) as 'vre'
  Added token 'bber' (265-269) as 'bber'
  Added token 'o ' (269-270) as 'o'

Saved word: 'dovrebbero' with SHAP -0.004203
  Added token 'essere ' (271-277) as 'essere'

Saved word: 'essere' with SHAP +0.002249
  Added token 'vieta' (278-283) as 'vieta'
  Added token 'te ' (283-285) as 'te'

Saved word: 'vietate' with SHAP +0.004499
  Added token 'poiché ' (286-292) as 'poiché'

Saved word: 'poiché' with SHAP +0.008532
  Added token 'sono ' (293-297) as 'sono'

Saved word: 'sono' with SHAP +0.008532
  Added token 'contrari' (298-306) as 'contrari'
  Added token 'e ' (306-307) as 'e'

Saved word: 'contrarie' with SHAP +0.034956
  Added token 'ai ' (308-310) as 'ai'

Saved word: 'ai' with SHAP +0.000050
  Added token 'valori ' (311-317) as 'valori'

Saved word: 'valori' with SHAP +0.000050
  Added token 'dell' (318-322) as 'dell'
  Added token ''' (322-323) as '''
  Added token 'Unione ' (323-329) as 'Unione'

Saved word: 'dell'Unione' with SHAP +0.000150
  Added token 'relativ' (330-337) as 'relativ'
  Added token 'i ' (337-338) as 'i'

Saved word: 'relativi' with SHAP +0.000836
  Added token 'al ' (339-341) as 'al'

Saved word: 'al' with SHAP +0.000418
  Added token 'rispetto ' (342-350) as 'rispetto'

Saved word: 'rispetto' with SHAP +0.000418
  Added token 'della ' (351-356) as 'della'

Saved word: 'della' with SHAP +0.000418
  Added token 'dig' (357-360) as 'dig'
  Added token 'nità ' (360-364) as 'nità'

Saved word: 'dignità' with SHAP +0.001891
  Added token 'umana' (365-370) as 'umana'
  Added token ', ' (370-371) as ','

Saved word: 'umana,' with SHAP +0.001891
  Added token 'alla ' (372-376) as 'alla'

Saved word: 'alla' with SHAP +0.005030
  Added token 'libertà' (377-384) as 'libertà'
  Added token ', ' (384-385) as ','

Saved word: 'libertà,' with SHAP +0.010059
  Added token 'all' (386-389) as 'all'
  Added token ''' (389-390) as '''
  Added token 'ug' (390-392) as 'ug'
  Added token 'ua' (392-394) as 'ua'
  Added token 'glia' (394-398) as 'glia'
  Added token 'nza' (398-401) as 'nza'
  Added token ', ' (401-402) as ','

Saved word: 'all'uguaglianza,' with SHAP +0.027069
  Added token 'alla ' (403-407) as 'alla'

Saved word: 'alla' with SHAP +0.003042
  Added token 'demo' (408-412) as 'demo'
  Added token 'crazia ' (412-418) as 'crazia'

Saved word: 'democrazia' with SHAP +0.006084
  Added token 'e ' (419-420) as 'e'

Saved word: 'e' with SHAP +0.003042
  Added token 'allo ' (421-425) as 'allo'

Saved word: 'allo' with SHAP +0.003042
  Added token 'Stato ' (426-431) as 'Stato'

Saved word: 'Stato' with SHAP +0.003042
  Added token 'di ' (432-434) as 'di'

Saved word: 'di' with SHAP +0.003042
  Added token 'diritto ' (435-442) as 'diritto'

Saved word: 'diritto' with SHAP +0.003906
  Added token 'e ' (443-444) as 'e'

Saved word: 'e' with SHAP +0.003906
  Added token 'ai ' (445-447) as 'ai'

Saved word: 'ai' with SHAP +0.003906
  Added token 'diritti ' (448-455) as 'diritti'

Saved word: 'diritti' with SHAP +0.003906
  Added token 'fonda' (456-461) as 'fonda'
  Added token 'mentali ' (461-468) as 'mentali'

Saved word: 'fondamentali' with SHAP +0.006181
  Added token 'san' (469-472) as 'san'
  Added token 'citi ' (472-476) as 'citi'

Saved word: 'sanciti' with SHAP +0.006181
  Added token 'dalla ' (477-482) as 'dalla'

Saved word: 'dalla' with SHAP +0.004700
  Added token 'Carta' (483-488) as 'Carta'
  Added token ', ' (488-489) as ','

Saved word: 'Carta,' with SHAP +0.009400
  Added token 'com' (490-493) as 'com'
  Added token 'presi ' (493-498) as 'presi'

Saved word: 'compresi' with SHAP +0.003151
  Added token 'il ' (499-501) as 'il'

Saved word: 'il' with SHAP +0.001575
  Added token 'diritto ' (502-509) as 'diritto'

Saved word: 'diritto' with SHAP +0.001575
  Added token 'alla ' (510-514) as 'alla'

Saved word: 'alla' with SHAP +0.001575
  Added token 'non ' (515-518) as 'non'

Saved word: 'non' with SHAP +0.001575
  Added token 'disc' (519-523) as 'disc'
  Added token 'rimi' (523-527) as 'rimi'
  Added token 'nazione' (527-534) as 'nazione'
  Added token ', ' (534-535) as ','

Saved word: 'discriminazione,' with SHAP +0.006301
  Added token 'alla ' (536-540) as 'alla'

Saved word: 'alla' with SHAP +0.000736
  Added token 'protezione ' (541-551) as 'protezione'

Saved word: 'protezione' with SHAP +0.000736
  Added token 'dei ' (552-555) as 'dei'

Saved word: 'dei' with SHAP +0.000736
  Added token 'dati ' (556-560) as 'dati'

Saved word: 'dati' with SHAP +0.000736
  Added token 'e ' (561-562) as 'e'

Saved word: 'e' with SHAP +0.000736
  Added token 'alla ' (563-567) as 'alla'

Saved word: 'alla' with SHAP +0.000736
  Added token 'vita ' (568-572) as 'vita'

Saved word: 'vita' with SHAP +0.000736
  Added token 'privata ' (573-580) as 'privata'

Saved word: 'privata' with SHAP +0.000736
  Added token 'e ' (581-582) as 'e'

Saved word: 'e' with SHAP +0.000736
  Added token 'i ' (583-584) as 'i'

Saved word: 'i' with SHAP +0.000736
  Added token 'diritti ' (585-592) as 'diritti'

Saved word: 'diritti' with SHAP +0.000736
  Added token 'dei ' (593-596) as 'dei'

Saved word: 'dei' with SHAP +0.000736
  Added token 'minori' (597-603) as 'minori'
  Added token '.' (603-604) as '.'

Saved final word: 'minori.' with SHAP +0.001472

=== Final Word Contributions ===
dannose                   +0.111758 (POS)
abusive                   +0.057927 (POS)
impropriamente            +0.048571 (POS)
contrarie                 +0.034956 (POS)
all'uguaglianza,          +0.027069 (POS)
benefici,                 -0.024991 (NEG)
sfruttamento              +0.012124 (POS)
particolarmente           +0.011949 (POS)
sociale.                  -0.011275 (NEG)
libertà,                  +0.010059 (POS)
Carta,                    +0.009400 (POS)
sono                      +0.008532 (POS)
poiché                    +0.008532 (POS)
fornire                   +0.007939 (POS)
discriminazione,          +0.006301 (POS)
manipolazione,            +0.006260 (POS)
fondamentali              +0.006181 (POS)
sanciti                   +0.006181 (POS)
democrazia                +0.006084 (POS)
strumenti                 -0.005692 (NEG)
nuovi                     -0.005692 (NEG)
dalla                     +0.004700 (POS)
vietate                   +0.004499 (POS)
dovrebbero                -0.004203 (NEG)
potenti                   -0.003920 (NEG)
ai                        +0.003906 (POS)
accanto                   +0.003887 (POS)
compresi                  +0.003151 (POS)
di                        +0.003042 (POS)
allo                      +0.003042 (POS)
Stato                     +0.003042 (POS)
a                         +0.002724 (POS)
essere                    +0.002249 (POS)
per                       -0.001960 (NEG)
dignità                   +0.001891 (POS)
umana,                    +0.001891 (POS)
utilizzi                  -0.001736 (NEG)
diritto                   +0.001575 (POS)
il                        +0.001575 (POS)
non                       +0.001575 (POS)
minori.                   +0.001472 (POS)
molti                     -0.001338 (NEG)
Tali                      -0.001111 (NEG)
relativi                  +0.000836 (POS)
e                         +0.000736 (POS)
alla                      +0.000736 (POS)
diritti                   +0.000736 (POS)
protezione                +0.000736 (POS)
dei                       +0.000736 (POS)
dati                      +0.000736 (POS)
vita                      +0.000736 (POS)
privata                   +0.000736 (POS)
i                         +0.000736 (POS)
presenta,                 +0.000529 (POS)
la                        -0.000516 (NEG)
possibilità               -0.000516 (NEG)
utilizzata                -0.000516 (NEG)
al                        +0.000418 (POS)
rispetto                  +0.000418 (POS)
della                     +0.000418 (POS)
pratiche                  -0.000404 (NEG)
L'IA                      +0.000239 (POS)
dell'Unione               +0.000150 (POS)
controllo                 -0.000107 (NEG)
valori                    +0.000050 (POS)
